BSSID,AP Name (from app),AP Location (from app),Notes (from app),AP Name (from AP),SSID,Seen,Manufacturer,Device,Channel width maximum (MHz),Phy speed maximum (Mbps),Phy technologies,Basic rates,Additional rates,Supported HT MCS,Supported VHT MCS,Supported HE MCS,Supported EHT MCS,SU-MIMO,MU-MIMO,Security,Capabilities,BSS Transition (802.11v),FT (802.11r) Responder,FT (802.11r) over the DS,RM (802.11k),MFP (802.11w) Required,MFP (802.11w) Capable,FTM (802.11mc) Responder,FTM (802.11mc) Initiator,MLO (802.11be) AP MLD,Frequency band,Channel width (MHz),Frequency from (MHz),Frequency to (MHz),Frequency primary (MHz),Primary channel,Channels used,rssi (dBm),Reported channel utilization (%),Reported stations
9c:53:22:8d:82:56,,,,,Weteranów_7,1718090809880,TP-Link,Whole-home Wi-Fi,40,300,"[""N300"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS][WPS],true,,,true,,,,,,2.4GHz,40,,,2447,8,,-91,,
18:fd:74:db:b1:c9,,,,18FD74DBB1C9,IPC_24_Biuro,1718090814439,Mikrotik,WiFi w Firmie,40,300,"[""N300"",""g54"",""b11""]",6,"[1,2,5.5,11,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA/WPA2-Personal,[RSN-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS],,,,,,,,,,2.4GHz,40,,,2417,2,,-54,,
9c:53:22:30:1b:be,,,,,Sabina_Weteranów_6,1718090809371,TP-Link,Whole-home Wi-Fi,40,300,"[""N300"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS][WPS],true,,,true,,,,,,2.4GHz,40,,,2427,4,,-91,,
26:a1:60:31:0d:98,,,,,W-18KA578,1718090810225,,,,54,b11,"[5.5,11,1,2]","[6,12,24,48,54,9,18,36]",,,,,,,WPA/WPA2-Personal,[RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],,,,,,,,,,2.4GHz,20,,,2462,11,,-88,,
ce:22:79:f2:1b:a8,,,,,S89Pro,1718090811777,,,80,433.3,"[""AC433"",""N150"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,32]","[0,1,2,3,4,5,6,7,8,9]",,,,,No Security,[ESS],true,,,,,,,,,U-NII-1,80,,,5240,48,,-83,,
18:e8:29:6a:27:a7,,,,,AkselWiFi,1718090809570,Ubiquiti Inc,,20,216.7,"[""N217"",""g54"",""b11""]","[1,2,5.5,11,6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],,,,,,true,,,,2.4GHz,20,,,2437,6,,-84,23.9,18
50:0f:f5:11:e8:81,,,,,Kreyczi,1718090809342,"Tenda Technology Co.,Ltd.Dongguan branch",,40,300,"[""N300"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA/WPA2-Personal,[RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],,,,,,,,,,2.4GHz,40,,,2427,4,,-90,,
18:fd:74:db:b1:ca,,,,18FD74DBB1CA,IPC_5G_Biuro,1718090811777,Mikrotik,WiFi w Firmie,80,866.7,"[""AC867"",""N300"",""a54""]",6,"[9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[0,1,2,3,4,5,6,7,8,9]",,,2x2,,WPA/WPA2-Personal,[RSN-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS],,,,,,,,,,U-NII-1,80,,,5240,48,,-61,,
1e:e8:29:6a:27:a7,,,,,,1718090809578,,,20,216.7,"[""N217"",""g54"",""b11""]","[1,2,5.5,11,6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,,,,,,,2.4GHz,20,,,2437,6,,-83,21.2,0
18:e8:29:6b:27:a7,,,,,,1718090811311,Ubiquiti Inc,,80,866.7,"[""AC867"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[0,1,2,3,4,5,6,7,8,9]",,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,,,true,,,,U-NII-1,40,,,5180,36,,-86,0.8,0
a2:53:22:30:1b:be,,,,,,1718090809389,,,40,300,"[""N300"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,2.4GHz,40,,,2427,4,,-89,,
